csv_file_name,Runtime,N_struc,N_attempts,N_est,Status,E,dE,R2,Chi2,Rwp,SPG,Wyckoff,Cell,WP_qrs_id
As2Ba_7.csv,9h 15m 30s,475,2028,14,Failure,,,,,,,,,
Cr3Se2Te2_12.csv,29m 35s,48,58,57,Success,-6.365,0,0.9986,0.03,3.643,12,"[['4i', '2c'], ['4i'], ['4i']]","['13.7358', '3.8923', '6.7114', '117.19']",
CrLi4O8V3_12.csv,20m 1s,14,138,19,Success,-6.9118,0.0005,0.9977,0.031,4.6346,148,"[['3a'], ['9d', '3b'], ['18f', '6c'], ['9e']]","['5.9484', '14.6871']",
CrLi2O4V_12.csv,24m 58s,26,53,33,Success,-6.9142,0,0.9977,0.0256,4.6093,5,"[['2a'], ['4c'], ['4c', '4c'], ['2b']]","['9.8879', '2.971', '5.2237', '99.62']",
Br3MoO_14.csv,8h 15m 2s,1501,2190,178,Failure,,,,,,,,,
CaCuN_12.csv,7h 5m 35s,881,1436,26,Success,-5.2462,0,0.9978,0.0376,4.3708,12,"[['4i', '4i'], ['4i', '4i'], ['4i', '4i']]","['17.4', '3.8378', '6.756', '110.56']",
AuTe2_7.csv,10h 18m 11s,1524,3121,770,Failure,,,,,,,,,
BiS2_12.csv,8h 57m 33s,525,1118,26,Success,-4.2283,0.0884,0.9982,0.0382,3.9906,5,"[['4c', '4c'], ['4c', '4c', '4c', '4c']]","['15.9894', '4.0825', '11.6347', '127.38']",
Cd3Sb3Tl2_12.csv,6h 59m 17s,415,697,6,Success,-2.4728,0.0278,0.9988,0.0378,3.2923,12,"[['4i', '4i', '4i'], ['4i', '4i', '4i'], ['4i', '4i']]","['17.6', '4.9878', '12.1411', '111.96']",
Cr7Se8_12.csv,1h 48m 10s,97,285,5,Success,-6.7698,0.0003,0.9988,0.0271,3.3163,12,"[['4i', '4h', '4f', '2b'], ['8j', '4i', '4i']]","['12.1027', '7.5207', '8.801', '132.56']",
Cu2F6Li_15.csv,31m 58s,42,82,31,Success,-4.142,0.0004,0.9983,0.0268,3.9231,8,"[['4b'], ['4b', '4b', '2a', '2a'], ['2a']]","['5.0332', '9.0295', '4.4601', '90.77']",
C5Ca4Ni3_12.csv,8h 53m 50s,438,1763,10,Failure,,,,,,,,,
AsCd2Cl2_14.csv,11h 46m 6s,919,1542,14,Success,-2.7362,0.0026,0.998,0.0417,4.177,14,"[['4e'], ['4e', '4e'], ['4e', '4e']]","['8.009', '9.3747', '8.4927', '120.2871']",
ClHg2O_15.csv,6h 17m 6s,468,649,29,Success,-2.2581,0.0018,0.9988,0.0394,3.328,9,"[['4a', '4a'], ['4a', '4a', '4a', '4a'], ['4a', '4a']]","['12.3111', '6.1088', '9.7585', '105.56']",
BaMn4O8_12.csv,11h 34m 51s,458,1055,10,C-Success,-7.1819,0.0014,0.9945,0.2125,6.9612,15,"[['4e'], ['8f', '8f'], ['8f', '8f', '8f', '8f']]","['13.7714', '3.159', '13.9442', '91.32']",
As4Eu3_9.csv,12h 18m 39s,1421,3373,30,C-Success,-8.0352,0.426,0.9901,0.3587,9.7478,15,"[['8f', '8f'], ['8f', '4e']]","['5.7791', '14.5902', '9.108', '108.45']",
CoLi4Mn3O8_10.csv,5h 10m 43s,108,2674,19,Failure,,,,,,,,,
Cu2O3_14.csv,1h 44m 27s,3,2781,3,Failure,,,,,,,,,
Ca6Cu2Sn7_12.csv,9h 52m 21s,655,2225,5,Failure,,,,,,,,,
Cr2F5_15.csv,4h 27m 25s,452,745,6,Success,-6.1648,0.0013,0.998,0.0398,4.2528,15,"[['4d', '4c'], ['8f', '8f', '4e']]","['8.0255', '7.629', '7.3171', '121.06']",
Cu3Li4O6_8.csv,1h 30m 30s,55,1002,15,Failure,,,,,,,,,
